datetime,field1,field2,field3
2021-06-20T06:33:48+07:00,0.72,158.4,0
2021-06-20T06:34:14+07:00,0.67,147.4,
2021-06-20T06:34:31+07:00,0.62,136.4,
2021-06-20T06:34:59+07:00,0.53,116.6,
2021-06-20T06:35:25+07:00,0.76,167.2,
2021-06-20T06:36:05+07:00,2.65,583,1
2021-06-20T06:36:31+07:00,2.29,503.8,
2021-06-20T06:36:57+07:00,3.2,704,
2021-06-20T06:37:17+07:00,1.21,266.2,
2021-06-20T06:37:58+07:00,1.75,385,
2021-06-20T06:38:20+07:00,3.05,671,
2021-06-20T06:38:59+07:00,1.56,343.2,0
2021-06-20T06:39:14+07:00,1.47,323.4,1
2021-06-20T06:39:48+07:00,0.64,140.8,0
2021-06-20T06:40:18+07:00,0.6,132,
2021-06-20T06:40:47+07:00,3.2,704,1
2021-06-20T06:41:07+07:00,0.57,125.3,
2021-06-20T06:41:29+07:00,0.68,149.6,
2021-06-20T06:41:56+07:00,2.69,591.8,
2021-06-20T06:42:20+07:00,3.9,858,
2021-06-20T06:42:45+07:00,3.65,803,
2021-06-20T06:43:25+07:00,2.61,574.1,
2021-06-20T06:43:48+07:00,0.94,206.7,0
2021-06-20T06:44:25+07:00,0.4,88,
2021-06-20T06:44:48+07:00,0.99,217.8,
2021-06-20T06:45:14+07:00,0.23,50.6,
2021-06-20T06:45:54+07:00,0.37,81.4,
2021-06-20T06:46:31+07:00,1.15,253,1
2021-06-20T06:46:48+07:00,0.9,198,
2021-06-20T06:47:23+07:00,3.72,818.4,0
2021-06-20T06:47:54+07:00,0.96,211.2,
2021-06-20T06:48:14+07:00,0.32,70.4,
2021-06-20T06:48:38+07:00,1.04,228.8,
2021-06-20T06:49:09+07:00,0.97,213.4,
2021-06-20T06:49:25+07:00,1.46,321.2,
2021-06-20T06:49:57+07:00,1.11,244.2,1
2021-06-20T06:50:16+07:00,1.93,424.6,
2021-06-20T06:50:39+07:00,3.74,822.8,
2021-06-20T06:51:20+07:00,2.69,591.8,
2021-06-20T06:51:54+07:00,2.67,587.4,
2021-06-20T06:52:22+07:00,3.75,825,
2021-06-20T06:52:50+07:00,0.94,206.7,0
2021-06-20T06:53:27+07:00,3.79,833.8,1
2021-06-20T06:54:03+07:00,2.1,462,
2021-06-20T06:54:25+07:00,2.31,508.2,
2021-06-20T06:54:45+07:00,3.86,849.1,
2021-06-20T06:55:10+07:00,3.63,798.6,
2021-06-20T06:55:49+07:00,0.82,180.3,0
2021-06-20T06:56:13+07:00,0.09,19.8,
2021-06-20T06:56:51+07:00,1.03,226.6,1
2021-06-20T06:57:25+07:00,2.12,466.4,0
2021-06-20T06:57:44+07:00,1.28,281.6,1
2021-06-20T06:58:01+07:00,3.88,853.6,
2021-06-20T06:58:16+07:00,3.7,814,
2021-06-20T06:58:33+07:00,3.9,858,
2021-06-20T06:59:12+07:00,2.47,543.4,0
2021-06-20T06:59:33+07:00,0.65,140.8,
